org_name,Year,Month,Recetpts,Disposals
"Department of Agriculture, Cooperation and Farmers Welfare",2016,12,507,280
"Department of Agriculture, Cooperation and Farmers Welfare",2017,1,483,652
"Department of Agriculture, Cooperation and Farmers Welfare",2017,2,403,435
"Department of Agriculture, Cooperation and Farmers Welfare",2017,3,591,383
"Department of Agriculture, Cooperation and Farmers Welfare",2017,4,434,288
"Department of Agriculture, Cooperation and Farmers Welfare",2017,5,441,649
"Department of Agriculture, Cooperation and Farmers Welfare",2017,6,474,234
"Department of Agriculture, Cooperation and Farmers Welfare",2017,7,408,481
"Department of Agriculture, Cooperation and Farmers Welfare",2017,8,428,391
"Department of Agriculture, Cooperation and Farmers Welfare",2017,9,347,287
"Department of Agriculture, Cooperation and Farmers Welfare",2017,10,297,324
"Department of Agriculture, Cooperation and Farmers Welfare",2017,11,396,362
"Department of Agriculture, Cooperation and Farmers Welfare",2017,12,412,425
"Department of Agriculture, Cooperation and Farmers Welfare",2018,1,337,260
"Department of Agriculture, Cooperation and Farmers Welfare",2018,2,277,284
"Department of Agriculture, Cooperation and Farmers Welfare",2018,3,314,372
"Department of Agriculture, Cooperation and Farmers Welfare",2018,4,350,799
"Department of Agriculture, Cooperation and Farmers Welfare",2018,5,458,866
"Department of Agriculture, Cooperation and Farmers Welfare",2018,6,361,171
"Department of Agriculture, Cooperation and Farmers Welfare",2018,7,487,362
"Department of Agriculture, Cooperation and Farmers Welfare",2018,8,362,434
"Department of Agriculture, Cooperation and Farmers Welfare",2018,9,337,324
"Department of Agriculture, Cooperation and Farmers Welfare",2018,10,403,461
"Department of Agriculture, Cooperation and Farmers Welfare",2018,11,292,246
"Department of Agriculture, Cooperation and Farmers Welfare",2018,12,516,397
"Department of Agriculture, Cooperation and Farmers Welfare",2019,1,480,592
"Department of Agriculture, Cooperation and Farmers Welfare",2019,2,457,637
"Department of Agriculture, Cooperation and Farmers Welfare",2019,3,536,458
"Department of Agriculture, Cooperation and Farmers Welfare",2019,4,437,353
"Department of Agriculture, Cooperation and Farmers Welfare",2019,5,402,656
"Department of Agriculture, Cooperation and Farmers Welfare",2019,6,690,401
"Department of Agriculture, Cooperation and Farmers Welfare",2019,7,814,484
"Department of Agriculture, Cooperation and Farmers Welfare",2019,8,654,616
"Department of Agriculture, Cooperation and Farmers Welfare",2019,9,819,1167
"Department of Agriculture, Cooperation and Farmers Welfare",2019,10,721,556
"Department of Agriculture, Cooperation and Farmers Welfare",2019,11,25,12
"Department of Animal Husbandry, Dairying",2016,1,76,11
"Department of Animal Husbandry, Dairying",2016,2,93,119
"Department of Animal Husbandry, Dairying",2016,3,85,91
"Department of Animal Husbandry, Dairying",2016,4,76,59
"Department of Animal Husbandry, Dairying",2016,5,75,40
"Department of Animal Husbandry, Dairying",2016,6,120,108
"Department of Animal Husbandry, Dairying",2016,7,88,85
"Department of Animal Husbandry, Dairying",2016,8,130,58
"Department of Animal Husbandry, Dairying",2016,9,116,30
"Department of Animal Husbandry, Dairying",2016,10,59,183
"Department of Animal Husbandry, Dairying",2016,11,77,62
"Department of Animal Husbandry, Dairying",2016,12,88,56
"Department of Animal Husbandry, Dairying",2017,1,103,54
"Department of Animal Husbandry, Dairying",2017,2,82,44
"Department of Animal Husbandry, Dairying",2017,3,134,65
"Department of Animal Husbandry, Dairying",2017,4,105,269
"Department of Animal Husbandry, Dairying",2017,5,116,156
"Department of Animal Husbandry, Dairying",2017,6,121,110
"Department of Animal Husbandry, Dairying",2017,7,126,69
"Department of Animal Husbandry, Dairying",2017,8,104,122
"Department of Animal Husbandry, Dairying",2017,9,130,124
"Department of Animal Husbandry, Dairying",2017,10,88,53
"Department of Animal Husbandry, Dairying",2017,11,119,56
"Department of Animal Husbandry, Dairying",2017,12,63,106
"Department of Animal Husbandry, Dairying",2018,1,51,65
"Department of Animal Husbandry, Dairying",2018,2,59,108
"Department of Animal Husbandry, Dairying",2018,3,75,49
"Department of Animal Husbandry, Dairying",2018,4,83,108
"Department of Animal Husbandry, Dairying",2018,5,119,75
"Department of Animal Husbandry, Dairying",2018,6,184,105
"Department of Animal Husbandry, Dairying",2018,7,320,365
"Department of Animal Husbandry, Dairying",2018,8,91,136
"Department of Animal Husbandry, Dairying",2018,9,73,58
"Department of Animal Husbandry, Dairying",2018,10,80,60
"Department of Animal Husbandry, Dairying",2018,11,73,46
"Department of Animal Husbandry, Dairying",2018,12,75,77
"Department of Animal Husbandry, Dairying",2019,1,103,35
"Department of Animal Husbandry, Dairying",2019,2,89,103
"Department of Animal Husbandry, Dairying",2019,3,107,50
"Department of Animal Husbandry, Dairying",2019,4,46,174
"Department of Animal Husbandry, Dairying",2019,5,80,73
"Department of Animal Husbandry, Dairying",2019,6,110,44
"Department of Animal Husbandry, Dairying",2019,7,140,52
"Department of Animal Husbandry, Dairying",2019,8,212,438
"Department of Animal Husbandry, Dairying",2019,9,167,159
"Department of Animal Husbandry, Dairying",2019,10,102,175
Department of Atomic Energy,2016,1,84,21
Department of Atomic Energy,2016,2,114,60
Department of Atomic Energy,2016,3,120,131
Department of Atomic Energy,2016,4,134,63
Department of Atomic Energy,2016,5,149,123
Department of Atomic Energy,2016,6,158,158
Department of Atomic Energy,2016,7,107,80
Department of Atomic Energy,2016,8,150,189
Department of Atomic Energy,2016,9,192,131
Department of Atomic Energy,2016,10,109,94
Department of Atomic Energy,2016,11,87,58
Department of Atomic Energy,2016,12,113,69
Department of Atomic Energy,2017,1,99,70
Department of Atomic Energy,2017,2,91,42
Department of Atomic Energy,2017,3,142,137
Department of Atomic Energy,2017,4,121,184
Department of Atomic Energy,2017,5,166,186
Department of Atomic Energy,2017,6,100,64
Department of Atomic Energy,2017,7,133,120
Department of Atomic Energy,2017,8,98,54
Department of Atomic Energy,2017,9,97,92
Department of Atomic Energy,2017,10,80,149
Department of Atomic Energy,2017,11,94,142
Department of Atomic Energy,2017,12,79,83
Department of Atomic Energy,2018,1,101,70
Department of Atomic Energy,2018,2,88,78
Department of Atomic Energy,2018,3,67,82
Department of Atomic Energy,2018,4,210,122
Department of Atomic Energy,2018,5,323,148
Department of Atomic Energy,2018,6,81,105
Department of Atomic Energy,2018,7,102,127
Department of Atomic Energy,2018,8,125,98
Department of Atomic Energy,2018,9,110,61
Department of Atomic Energy,2018,10,124,116
Department of Atomic Energy,2018,11,63,81
Department of Atomic Energy,2018,12,154,74
Department of Atomic Energy,2019,1,383,163
Department of Atomic Energy,2019,2,156,312
Department of Atomic Energy,2019,3,136,224
Department of Atomic Energy,2019,4,113,108
Department of Atomic Energy,2019,5,120,73
Department of Atomic Energy,2019,6,108,79
Department of Atomic Energy,2019,7,116,108
Department of Atomic Energy,2019,8,111,268
Department of Atomic Energy,2019,9,125,91
Department of Atomic Energy,2019,10,80,179
Department of Atomic Energy,2019,11,1,17
Department of Bio Technology,2016,3,16,3
Department of Bio Technology,2016,4,16,7
Department of Bio Technology,2016,5,23,9
Department of Bio Technology,2016,6,25,29
Department of Bio Technology,2016,7,23,21
Department of Bio Technology,2016,8,18,18
Department of Bio Technology,2016,9,29,17
Department of Bio Technology,2016,10,14,11
Department of Bio Technology,2016,11,11,23
Department of Bio Technology,2016,12,25,9
Department of Bio Technology,2017,1,20,16
Department of Bio Technology,2017,2,9,13
Department of Bio Technology,2017,3,17,12
Department of Bio Technology,2017,4,21,5
Department of Bio Technology,2017,5,31,28
Department of Bio Technology,2017,6,19,15
Department of Bio Technology,2017,7,27,22
Department of Bio Technology,2017,8,16,16
Department of Bio Technology,2017,9,18,7
Department of Bio Technology,2017,11,29,24
Department of Bio Technology,2017,12,15,24
Department of Bio Technology,2018,1,14,12
Department of Bio Technology,2018,2,6,6
Department of Bio Technology,2018,3,10,14
Department of Bio Technology,2018,4,34,18
Department of Bio Technology,2018,5,63,133
Department of Bio Technology,2018,6,9,19
Department of Bio Technology,2018,7,21,29
Department of Bio Technology,2018,8,17,11
Department of Bio Technology,2018,9,5,8
Department of Bio Technology,2018,10,12,9
Department of Bio Technology,2018,11,10,4
Department of Bio Technology,2018,12,34,2
Department of Bio Technology,2019,1,34,48
Department of Bio Technology,2019,2,33,29
Department of Bio Technology,2019,3,47,43
Department of Bio Technology,2019,4,25,15
Department of Bio Technology,2019,5,8,7
Department of Bio Technology,2019,6,17,59
Department of Bio Technology,2019,7,21,25
Department of Bio Technology,2019,8,15,23
Department of Bio Technology,2019,9,24,38
Department of Bio Technology,2019,10,21,25
Department of Chemicals and Petrochemicals,2016,1,39,19
Department of Chemicals and Petrochemicals,2016,2,42,24
Department of Chemicals and Petrochemicals,2016,3,34,47
Department of Chemicals and Petrochemicals,2016,4,37,36
Department of Chemicals and Petrochemicals,2016,5,34,21
Department of Chemicals and Petrochemicals,2016,6,29,53
Department of Chemicals and Petrochemicals,2016,7,36,34
Department of Chemicals and Petrochemicals,2016,8,29,30
Department of Chemicals and Petrochemicals,2016,9,39,26
Department of Chemicals and Petrochemicals,2016,10,33,29
Department of Chemicals and Petrochemicals,2016,11,30,35
Department of Chemicals and Petrochemicals,2016,12,45,29
Department of Chemicals and Petrochemicals,2017,1,32,43
Department of Chemicals and Petrochemicals,2017,2,45,29
Department of Chemicals and Petrochemicals,2017,3,38,48
Department of Chemicals and Petrochemicals,2017,4,41,45
Department of Chemicals and Petrochemicals,2017,5,59,60
Department of Chemicals and Petrochemicals,2017,6,38,43
Department of Chemicals and Petrochemicals,2017,7,48,59
Department of Chemicals and Petrochemicals,2017,8,39,31
Department of Chemicals and Petrochemicals,2017,9,31,34
Department of Chemicals and Petrochemicals,2017,10,32,43
Department of Chemicals and Petrochemicals,2017,11,43,28
Department of Chemicals and Petrochemicals,2017,12,42,40
Department of Chemicals and Petrochemicals,2018,1,20,38
Department of Chemicals and Petrochemicals,2018,2,22,25
Department of Chemicals and Petrochemicals,2018,3,34,25
Department of Chemicals and Petrochemicals,2018,4,39,32
Department of Chemicals and Petrochemicals,2018,5,80,94
Department of Chemicals and Petrochemicals,2018,6,22,21
Department of Chemicals and Petrochemicals,2018,7,28,24
Department of Chemicals and Petrochemicals,2018,8,37,44
Department of Chemicals and Petrochemicals,2018,9,33,33
Department of Chemicals and Petrochemicals,2018,10,89,46
Department of Chemicals and Petrochemicals,2018,11,286,333
Department of Chemicals and Petrochemicals,2018,12,60,52
Department of Chemicals and Petrochemicals,2019,1,47,57
Department of Chemicals and Petrochemicals,2019,2,30,29
Department of Chemicals and Petrochemicals,2019,3,53,49
Department of Chemicals and Petrochemicals,2019,4,31,28
Department of Chemicals and Petrochemicals,2019,5,32,37
Department of Chemicals and Petrochemicals,2019,6,43,36
Department of Chemicals and Petrochemicals,2019,7,46,49
Department of Chemicals and Petrochemicals,2019,8,37,34
Department of Chemicals and Petrochemicals,2019,9,49,48
Department of Chemicals and Petrochemicals,2019,10,58,56
Department of Commerce,2016,1,326,173
Department of Commerce,2016,2,321,293
Department of Commerce,2016,3,303,305
Department of Commerce,2016,4,378,306
Department of Commerce,2016,5,279,359
Department of Commerce,2016,6,390,386
Department of Commerce,2016,7,295,318
Department of Commerce,2016,8,328,312
Department of Commerce,2016,9,289,295
Department of Commerce,2016,10,438,365
Department of Commerce,2016,11,391,338
Department of Commerce,2016,12,397,334
Department of Commerce,2017,1,320,316
Department of Commerce,2017,2,282,326
Department of Commerce,2017,3,372,436
Department of Commerce,2017,4,287,268
Department of Commerce,2017,5,344,386
Department of Commerce,2017,6,389,415
Department of Commerce,2017,7,500,503
Department of Commerce,2017,8,335,408
Department of Commerce,2017,9,343,345
Department of Commerce,2017,10,304,291
Department of Commerce,2017,11,334,288
Department of Commerce,2017,12,261,274
Department of Commerce,2018,1,243,295
Department of Commerce,2018,2,214,181
Department of Commerce,2018,3,262,226
Department of Commerce,2018,4,270,259
Department of Commerce,2018,5,351,345
Department of Commerce,2018,6,399,202
Department of Commerce,2018,7,592,740
Department of Commerce,2018,8,341,360
Department of Commerce,2018,9,308,253
Department of Commerce,2018,10,336,360
Department of Commerce,2018,11,250,254
Department of Commerce,2018,12,258,264
Department of Commerce,2019,1,343,401
Department of Commerce,2019,2,273,292
Department of Commerce,2019,3,306,293
Department of Commerce,2019,4,264,276
Department of Commerce,2019,5,270,299
Department of Commerce,2019,6,345,298
Department of Commerce,2019,7,401,360
Department of Commerce,2019,8,335,336
Department of Commerce,2019,9,397,377
Department of Commerce,2019,10,373,363
Department of Commerce,2019,11,19,16
Department of Consumer Affairs,2016,1,339,24
Department of Consumer Affairs,2016,2,417,431
Department of Consumer Affairs,2016,3,403,458
Department of Consumer Affairs,2016,4,422,299
Department of Consumer Affairs,2016,5,435,388
Department of Consumer Affairs,2016,6,536,466
Department of Consumer Affairs,2016,7,366,261
Department of Consumer Affairs,2016,8,428,730
Department of Consumer Affairs,2016,9,522,436
Department of Consumer Affairs,2016,10,613,296
Department of Consumer Affairs,2016,11,621,674
Department of Consumer Affairs,2016,12,724,539
Department of Consumer Affairs,2017,1,840,935
Department of Consumer Affairs,2017,2,620,778
Department of Consumer Affairs,2017,3,773,772
Department of Consumer Affairs,2017,4,587,652
Department of Consumer Affairs,2017,5,776,784
Department of Consumer Affairs,2017,6,758,808
Department of Consumer Affairs,2017,7,903,793
Department of Consumer Affairs,2017,8,804,823
Department of Consumer Affairs,2017,9,539,691
Department of Consumer Affairs,2017,10,675,558
Department of Consumer Affairs,2017,11,769,582
Department of Consumer Affairs,2017,12,512,699
Department of Consumer Affairs,2018,1,507,573
Department of Consumer Affairs,2018,2,480,519
Department of Consumer Affairs,2018,3,553,435
Department of Consumer Affairs,2018,4,562,622
Department of Consumer Affairs,2018,5,854,708
Department of Consumer Affairs,2018,6,559,523
Department of Consumer Affairs,2018,7,1096,971
Department of Consumer Affairs,2018,8,752,723
Department of Consumer Affairs,2018,9,720,821
Department of Consumer Affairs,2018,10,751,747
Department of Consumer Affairs,2018,11,644,629
Department of Consumer Affairs,2018,12,613,871
Department of Consumer Affairs,2019,1,749,876
Department of Consumer Affairs,2019,2,684,718
Department of Consumer Affairs,2019,3,641,547
Department of Consumer Affairs,2019,4,678,692
Department of Consumer Affairs,2019,5,908,746
Department of Consumer Affairs,2019,6,937,888
Department of Consumer Affairs,2019,7,1401,1168
Department of Consumer Affairs,2019,8,905,876
Department of Consumer Affairs,2019,9,1135,1274
Department of Consumer Affairs,2019,10,1117,1078
Department of Consumer Affairs,2019,11,34,29
Department of Defence,2016,1,1239,415
Department of Defence,2016,2,1240,775
Department of Defence,2016,3,1086,1079
Department of Defence,2016,4,1105,877
Department of Defence,2016,5,1110,1278
Department of Defence,2016,6,1325,1102
Department of Defence,2016,7,1283,1018
Department of Defence,2016,8,1565,602
Department of Defence,2016,9,1837,1393
Department of Defence,2016,10,1735,1580
Department of Defence,2016,11,1508,1737
Department of Defence,2016,12,1622,858
Department of Defence,2017,1,1301,1530
Department of Defence,2017,2,1008,1003
Department of Defence,2017,3,1255,1934
Department of Defence,2017,4,1247,1247
Department of Defence,2017,5,1522,1677
Department of Defence,2017,6,1183,1193
Department of Defence,2017,7,1308,1747
Department of Defence,2017,8,1249,1093
Department of Defence,2017,9,1001,1140
Department of Defence,2017,10,860,794
Department of Defence,2017,11,1020,896
Department of Defence,2017,12,983,899
Department of Defence,2018,1,796,883
Department of Defence,2018,2,849,851
Department of Defence,2018,3,1054,1236
Department of Defence,2018,4,948,897
Department of Defence,2018,5,1302,1907
Department of Defence,2018,6,1076,727
Department of Defence,2018,7,1439,1239
Department of Defence,2018,8,1235,946
Department of Defence,2018,9,1272,1327
Department of Defence,2018,10,1640,1461
Department of Defence,2018,11,1233,795
Department of Defence,2018,12,1536,1143
Department of Defence,2019,1,1724,1502
Department of Defence,2019,2,1805,2420
Department of Defence,2019,3,1294,935
Department of Defence,2019,4,934,1091
Department of Defence,2019,5,853,927
Department of Defence,2019,6,1169,905
Department of Defence,2019,7,1309,966
Department of Defence,2019,8,1107,2131
Department of Defence,2019,9,1108,1144
Department of Defence,2019,10,967,1105
Department of Defence,2019,11,27,53
Department of Defence Finance,2016,1,178,111
Department of Defence Finance,2016,2,269,139
Department of Defence Finance,2016,3,202,109
Department of Defence Finance,2016,4,202,151
Department of Defence Finance,2016,5,208,104
Department of Defence Finance,2016,6,228,151
Department of Defence Finance,2016,7,212,224
Department of Defence Finance,2016,8,206,173
Department of Defence Finance,2016,9,340,235
Department of Defence Finance,2016,10,338,221
Department of Defence Finance,2016,11,314,266
Department of Defence Finance,2016,12,259,367
Department of Defence Finance,2017,1,274,383
Department of Defence Finance,2017,2,230,289
Department of Defence Finance,2017,3,275,264
Department of Defence Finance,2017,4,279,300
Department of Defence Finance,2017,5,376,259
Department of Defence Finance,2017,6,323,374
Department of Defence Finance,2017,7,423,422
Department of Defence Finance,2017,8,583,379
Department of Defence Finance,2017,9,552,425
Department of Defence Finance,2017,10,503,316
Department of Defence Finance,2017,11,452,527
Department of Defence Finance,2017,12,440,938
Department of Defence Finance,2018,1,403,438
Department of Defence Finance,2018,2,368,396
Department of Defence Finance,2018,3,752,331
